XLS_RowNumber	CustomerID	Calendarday	month	PerformanceEvaluationPlanned	PerformanceEvaluationExecuted	PerformanceEvaluationAdHoc	TERRID	SAPECCSalesGroup	SAPECoeficient	APECoeficient	FPECoeficient	SAMEDAYVISIT	OVERDUE	UNDERDUE	OK	NOTOK	STATUS	OVERDUEDAYS
75	100000136	2017-12-29	12	 	 	1	Employee 44	Team 1	94.75		85.275	 	 	 	 	 	 	 
300	100000146	2017-10-27	10	 	 	1	Employee 41	Team 1	64.37100000000001		61.746	 	 	 	 	 	 	 
306	100000146	2017-11-24	11	 	 	1	Employee 41	Team 1	64.37100000000001		64.37100000000001	 	 	 	 	 	 	 
313	100000146	2017-12-28	12	 	 	1	Employee 41	Team 1	72.1		58.795	 	 	 	 	 	 	 
314	100000146	2017-12-29	12	 	 	1	Employee 41	Team 1	72.1		58.795	 	 	 	 	 	 	 
320	100000200	2017-05-26	5	 	 	1	Employee 43	Team 1	84.15700000000001		81.532	 	 	 	 	 	 	 
346	100000200	2017-10-27	10	 	 	1	Employee 43	Team 1	86.73700000000001		83.38799999999999	 	 	 	 	 	 	 
353	100000200	2017-11-24	11	 	 	1	Employee 43	Team 1	83.919		82.125	 	 	 	 	 	 	 
385	100000202	2017-06-28	6	 	 	1	Employee 28	Team 5	89.375		59.583	 	 	 	 	 	 	 
386	100000202	2017-06-30	6	 	 	1	Employee 28	Team 5	89.375		59.583	 	 	 	 	 	 	 
427	100000203	2017-06-28	6	 	 	1	Employee 28	Team 5	91.662		61.108000000000004	 	 	 	 	 	 	 
428	100000203	2017-06-30	6	 	 	1	Employee 28	Team 5	91.662		61.108000000000004	 	 	 	 	 	 	 
458	100000203	2017-12-14	12	 	 	1	Employee 28	Team 5	91.197		75.52600000000001	 	 	 	 	 	 	 
521	100000206	2017-09-29	9	 	 	1	Employee 42	Team 1	81.877		80.477	 	 	 	 	 	 	 
526	100000206	2017-10-26	10	 	 	1	Employee 42	Team 1	81.73100000000001		82.344	 	 	 	 	 	 	 
597	100000209	2017-10-20	10	 	 	1	Employee 26	Team 5	100.4		98.4	 	 	 	 	 	 	 
691	100000216	2017-07-28	7	 	 	1	Employee 26	Team 5	92.6		83.76700000000001	 	 	 	 	 	 	 
704	100000216	2017-10-20	10	 	 	1	Employee 26	Team 5	100.4		87.875	 	 	 	 	 	 	 
714	100000216	2017-12-15	12	 	 	1	Employee 26	Team 5	94.4		91.1	 	 	 	 	 	 	 
716	100000216	2017-12-22	12	 	 	1	Employee 26	Team 5	100.4		91.1	 	 	 	 	 	 	 
753	100000217	2017-12-25	12	 	 	1	Employee 26	Team 5	94.0		70.858	 	 	 	 	 	 	 
789	100000218	2017-12-25	12	 	 	1	Employee 26	Team 5	97.0		58.975	 	 	 	 	 	 	 
795	100000220	2017-05-25	5	 	 	1	Employee 26	Team 5	86.494		83.39399999999999	 	 	 	 	 	 	 
805	100000220	2017-07-28	7	 	 	1	Employee 26	Team 5	90.8		85.096	 	 	 	 	 	 	 
