	CustomerID	Calendarday	month	PerformanceEvaluationPlanned	PerformanceEvaluationExecuted	PerformanceEvaluationAdHoc	TERRID	SAPECCSalesGroup	SAPECoeficient	APECoeficient	FPECoeficient	SAMEDAYVISIT	OVERDUE	UNDERDUE	OK	NOTOK	STATUS	V22	OVERDUEDAYS	TRESHOLD
3	100000136	5/11/2017	5	1	1	 	Employee 44	Team 1	90,9875	 	90,9875	 	 	 	ok	 	ok	ok	 	,15
47	100000136	10/9/2017	10	1	1	 	Employee 44	Team 1	96	 	96	 	 	 	ok	 	not ok	ok	 	,15
120	100000142	5/16/2017	5	1	1	 	Employee 42	Team 1	79,985119047619	 	76,0690476190476	 	 	 	ok	 	ok	ok	 	,15
130	100000142	7/18/2017	7	1	1	 	Employee 42	Team 1	81,1364035087719	 	79,1689025689223	 	 	 	ok	 	ok	ok	 	,15
161	100000144	6/14/2017	6	1	1	 	Employee 43	Team 1	30,6278846153846	 	30,6278846153846	 	 	 	ok	 	ok	ok	 	,15
172	100000144	8/23/2017	8	1	1	 	Employee 43	Team 1	30,4458333333333	 	30,4458333333333	 	 	 	ok	 	ok	ok	 	,15
182	100000144	10/18/2017	10	1	1	 	Employee 43	Team 1	34,9458333333333	 	33,4458333333333	 	 	 	ok	 	ok	ok	 	,15
281	100000146	7/18/2017	7	1	1	 	Employee 41	Team 1	60,8708333333333	 	60,8708333333333	 	 	 	ok	 	not ok	ok	 	,15
290	100000146	9/12/2017	9	1	1	 	Employee 41	Team 1	60,8708333333333	 	60,8708333333333	 	 	 	ok	 	not ok	ok	 	,15
300	100000146	11/7/2017	11	1	1	 	Employee 41	Team 1	64,3708333333333	 	64,3708333333333	 	 	 	ok	 	not ok	ok	 	,15
321	100000200	6/14/2017	6	1	1	 	Employee 43	Team 1	84,1573571428572	 	84,8862857142857	 	 	 	ok	 	ok	ok	 	,15
341	100000200	10/18/2017	10	1	1	 	Employee 43	Team 1	83,2136403508772	 	83,3884210526316	 	 	 	ok	 	ok	ok	 	,15
353	100000200	12/6/2017	12	1	1	 	Employee 43	Team 1	83,9189035087719	 	83,918903508772	 	 	 	ok	 	ok	ok	 	,15
401	100000202	10/16/2017	10	1	1	 	Employee 28	Team 5	71,1	 	69,9666666666667	 	overdue	 	 	 	overdue	ok	9	,15
407	100000202	11/20/2017	11	1	1	 	Employee 28	Team 5	71,1	 	71,1	 	 	 	ok	 	ok	ok	 	,15
433	100000203	8/14/2017	8	1	1	 	Employee 28	Team 5	78,7623015873016	 	78,7623015873017	 	 	 	ok	 	not ok	ok	 	,15
440	100000203	9/25/2017	9	1	1	 	Employee 28	Team 5	79,1115079365079	 	78,9369047619048	 	 	 	ok	 	not ok	ok	 	,15
444	100000203	10/16/2017	10	1	1	 	Employee 28	Team 5	80,9115079365079	 	80,3115079365079	 	overdue	 	 	 	overdue	ok	9	,15
496	100000206	5/16/2017	5	1	1	 	Employee 42	Team 1	79,2792857142857	 	79,5633333333333	 	 	 	ok	 	ok	ok	 	,15
506	100000206	7/18/2017	7	1	1	 	Employee 42	Team 1	81,1305701754386	 	81,1382847744361	 	 	 	ok	 	ok	ok	 	,15
515	100000206	9/12/2017	9	1	1	 	Employee 42	Team 1	78,0031140350877	 	80,4770175438597	 	 	 	ok	 	ok	ok	 	,15
535	100000208	5/11/2017	5	1	1	 	Employee 42	Team 1	80,4375	 	75,6311011904762	 	 	 	ok	 	ok	ok	 	,15
639	100000213	5/16/2017	5	1	1	 	Employee 27	Team 5	84,0192307692308	 	85,0192307692308	 	 	 	ok	 	ok	ok	 	,15
648	100000213	7/11/2017	7	1	1	 	Employee 27	Team 5	91,2875	 	90,6891826923077	 	 	 	ok	 	ok	ok	 	,15
667	100000213	11/14/2017	11	1	1	 	Employee 27	Team 5	83,0283333333333	 	83,1933333333333	 	 	 	ok	 	ok	ok	 	,15
670	100000213	11/28/2017	12	1	1	 	Employee 27	Team 5	88,0583333333333	 	83,5083333333333	 	overdue	 	 	 	overdue	ok	8	,15
710	100000216	12/11/2017	12	1	1	 	Employee 26	Team 5	80,9	 	91,1	 	 	 	ok	 	ok	ok	 	,15
760	100000218	6/23/2017	6	1	1	 	Employee 26	Team 5	46,2817307692308	 	47,0317307692308	 	 	 	ok	 	ok	ok	 	,15
824	100000220	12/11/2017	12	1	1	 	Employee 26	Team 5	85,525	 	94,305	 	 	 	ok	 	ok	ok	 	,15
941	100000225	5/9/2017	5	1	1	 	Employee 43	Team 1	65,5857142857143	 	69,1857142857143	 	overdue	 	 	 	overdue	ok	3	,15
953	100000225	7/11/2017	7	1	1	 	Employee 43	Team 1	75,2428571428571	 	77,5571428571429	 	 	 	 	 	 	ok	 	,15
965	100000225	9/19/2017	9	1	1	 	Employee 43	Team 1	75,9571428571429	 	78,94	 	 	 	ok	 	ok	ok	 	,15
980	100000225	12/19/2017	12	1	1	 	Employee 43	Team 1	89,0575396825397	 	89,5075396825397	 	 	 	ok	 	not ok	ok	 	,15
989	100000227	6/12/2017	6	1	1	 	Employee 48	Team 4	69,2709615384615	 	69,2709615384615	 	overdue	 	 	 	overdue	ok	8	,15
1005	100000227	9/18/2017	9	1	1	 	Employee 48	Team 4	81,7	 	82,45	 	 	 	ok	 	ok	ok	 	,15
1027	100000228	6/12/2017	6	1	1	 	Employee 48	Team 4	86,4625	 	86,4625	 	overdue	 	 	 	overdue	ok	8	,15
1043	100000228	9/18/2017	9	1	1	 	Employee 48	Team 4	89,4625	 	89,4625	 	 	 	ok	 	ok	ok	 	,15
1230	100000243	6/20/2017	6	1	1	 	Employee 48	Team 4	48,44	 	48,44	 	 	 	ok	 	ok	ok	 	,15
1245	100000243	9/19/2017	9	1	1	 	Employee 48	Team 4	45,3516666666667	 	45,1516666666667	 	 	 	ok	 	ok	ok	 	,15
1259	100000243	12/19/2017	12	1	1	 	Employee 48	Team 4	43,9808333333333	 	44,0002777777778	 	 	 	ok	 	ok	ok	 	,15
1271	100000244	7/6/2017	7	1	1	 	Employee 46	Team 4	43,0923076923077	 	43,0923076923077	 	overdue	 	 	 	overdue	ok	16	,15
1296	100000245	7/13/2017	7	1	1	 	Employee 46	Team 4	66,9722222222222	 	66,7338624338624	 	overdue	 	 	 	overdue	ok	9	,15
1305	100000245	9/7/2017	9	1	1	 	Employee 46	Team 4	76,1722222222222	 	79,1722222222222	 	 	 	ok	 	ok	ok	 	,15
1317	100000245	11/16/2017	11	1	1	 	Employee 46	Team 4	76,15	 	79,9	 	 	 	ok	 	ok	ok	 	,15
1335	100000246	9/7/2017	9	1	1	 	Employee 46	Team 4	78,75	 	78,75	 	 	 	ok	 	ok	ok	 	,15
1346	100000246	11/16/2017	11	1	1	 	Employee 46	Team 4	93,625	 	86,1875	 	 	 	ok	 	ok	ok	 	,15
1362	100000247	8/17/2017	8	1	1	 	Employee 46	Team 4	73,65	 	73,65	 	 	 	ok	 	ok	ok	 	,15
1451	100000253	6/19/2017	6	1	1	 	Employee 45	Team 4	91,9857142857143	 	87,4857142857143	 	 	 	ok	 	ok	ok	 	,15
1465	100000253	9/11/2017	9	1	1	 	Employee 45	Team 4	85,8079365079365	 	87,1079365079365	 	 	 	ok	 	not ok	ok	 	,15
1471	100000253	10/16/2017	10	1	1	 	Employee 45	Team 4	91,0079365079365	 	91,0079365079365	 	 	 	ok	 	ok	ok	 	,15
1477	100000253	11/20/2017	11	1	1	 	Employee 45	Team 4	91,8968253968254	 	91,4523809523809	 	 	 	ok	 	not ok	ok	 	,15
1511	100000259	5/11/2017	5	1	1	 	Employee 45	Team 4	89,4351428571429	 	88,3208571428572	 	 	 	ok	 	ok	ok	 	,15
1523	100000259	7/17/2017	7	1	1	 	Employee 45	Team 4	84,8261904761905	 	86,4589206349206	 	 	 	ok	 	ok	ok	 	,15
1599	100000262	11/2/2017	11	1	1	 	Employee 39	Team 6	78,4	 	78,4	 	 	 	ok	 	ok	ok	 	,15
1606	100000263	7/20/2017	7	1	1	 	Employee 39	Team 6	40,1902	 	40,1902	 	 	 	ok	 	ok	ok	 	,15
1644	100000269	8/4/2017	8	1	1	 	Employee 39	Team 6	68,8857142857143	 	68,8857142857143	 	overdue	 	 	 	overdue	ok	15	,15
1704	100000280	6/12/2017	6	1	1	 	Employee 39	Team 6	43,9842666666667	 	46,2122666666667	 	 	 	ok	 	ok	ok	 	,15
1718	100000280	12/12/2017	12	1	1	 	Employee 39	Team 6	42,2748666666667	 	51,8947066666667	 	 	 	ok	 	ok	ok	 	,15
1726	100000282	6/14/2017	6	1	1	 	Employee 35	Team 6	48,9092666666667	 	46,6812666666667	 	 	 	ok	 	ok	ok	 	,15
1762	100000286	7/24/2017	7	1	1	 	Employee 38	Team 6	77,342	 	77,342	 	 	 	ok	 	ok	ok	 	,15
1771	100000286	9/18/2017	9	1	1	 	Employee 38	Team 6	77,342	 	77,342	 	 	 	ok	 	ok	ok	 	,15
1784	100000286	12/11/2017	12	1	1	 	Employee 38	Team 6	77,342	 	77,8736	 	 	 	ok	 	ok	ok	 	,15
1795	100000294	8/11/2017	8	1	1	 	Employee 38	Team 6	82,8833333333333	 	82,8833333333334	 	 	 	ok	 	ok	ok	 	,15
1809	100000294	11/10/2017	11	1	1	 	Employee 38	Team 6	82,8833333333333	 	84,8083333333333	 	 	 	ok	 	not ok	ok	 	,15
1837	100000298	5/23/2017	5	1	1	 	Employee 34	Team 6	89,925	 	92,0375	 	 	 	ok	 	ok	ok	 	,15
1899	100000302	5/11/2017	5	1	1	 	Employee 37	Team 6	58,05	 	58,05	 	 	 	ok	 	ok	ok	 	,15
1914	100000302	9/11/2017	9	1	1	 	Employee 37	Team 6	47,4	 	64,9333333333333	 	 	 	ok	 	ok	ok	 	,15
1946	100000303	8/14/2017	8	1	1	 	Employee 37	Team 6	40,6976190476191	 	40,6976190476191	 	 	 	ok	 	ok	ok	 	,15
1995	100000308	12/1/2017	12	1	1	 	Employee 45	Team 4	66	 	68,8333333333334	 	 	 	ok	 	ok	ok	 	,15
2039	100000312	5/11/2017	5	1	1	 	Employee 37	Team 6	72	 	72	 	 	 	ok	 	ok	ok	 	,15
2053	100000312	8/14/2017	8	1	1	 	Employee 37	Team 6	88	 	88	 	 	 	ok	 	not ok	ok	 	,15
2067	100000312	11/6/2017	11	1	1	 	Employee 37	Team 6	85,3	 	85,3	 	 	 	ok	 	ok	ok	 	,15
2089	100000313	8/14/2017	8	1	1	 	Employee 37	Team 6	92,026	 	92,026	 	 	 	ok	 	ok	ok	 	,15
2094	100000313	9/11/2017	9	1	1	 	Employee 37	Team 6	92,026	 	92,026	 	 	 	ok	 	ok	ok	 	,15
2112	100000314	5/11/2017	5	1	1	 	Employee 37	Team 6	84,3935	 	84,3935	 	 	 	ok	 	ok	ok	 	,15
